Taxa and Samples	BJ1-L	BJ2-L	BJ3-L	BJ4-L	BJ5-L	BJ6-L	LC1-L	LC2-L	LC3-L	LC4-L	LC5-L	LC6-L	S1-L	S2-L	S3-L	S4-L	S5-L	S6-L	TH1-L	TH2-L	TH3-L	TH4-L	TH5-L	TH6-L	TY1-L	TY2-L	TY3-L	TY4-L	TY5-L	TY6-L	YL1-L	YL2-L	YL3-L	YL4-L	YL5-L	YL6-L	ZZ1-L	ZZ2-L	ZZ3-L	ZZ4-L	ZZ5-L	ZZ6-L
9aa249d9381a729d812a5f1930e460a6	4.724882969	0	2.061322497	0	0.911543772	3.162844275	2.332053793	0	0	2.560460375	5.167890457	0	9.728596858	3.390812263	6.986387863	0	4.770001709	8.511552968	6.967894921	0	0	2.880716696	4.902261933	4.209879908	3.315896582	2.391502667	0	0	5.336980873	0	3.29223641	1.225257427	0	0	0.836116044	0	4.181209931	0	0	4.673244664	7.046815371	0
0c39ede6da50bbdfde1472b313d68968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.701814289	0	0	0	0	0	0	0	0	0	2.983800465	0	0	0	0	0	0	0	0	0	0	0	0	0	3.06618183	0	0	0
9f5a32e8556dd14e6c8c8d3649df9f4c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.536714905	5.686966807	0	0	0	0	0	0	0	0	0	0	6.512833496	0	0	0	0	0	0	6.416611858	6.053129672	3.851020086	4.688739983	6.849183768	13.90057017	0
dbe23fcd2d33179cdfc72537afa2b576	4.561761409	0	0	0	0	0	4.036256272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.346399718	5.068696979	0	4.87646999	3.510501357	7.078266705	0	0	0	0	0	0	3.625231025	0	0	0	0	0
7e6e403c28818f1ff666c2b1e9fb0a85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.460809457	3.285806891	0	2.881773039	0	0	2.227138683	0	2.989946335	0	0	0	0	0	0	0	0	0	0	0
1c75f394a80c6557d2e44022f0c2663a	0	2.765568307	0	0	0	0	0	0	0	0	0	0	0	0	0	6.24508297	0	0	0	0	6.249623432	5.149985354	0	0	0	3.887804693	0	3.889174238	0	0	0	0	0	1.91117756	2.742647006	4.041995207	0	0	0	0	0	0
39bf9b3e466eef117f4c55503329aa01	4.261115169	1.963503382	0	0	0	0	0	0	0	0	0	0	2.181783167	0	0	0	0	0	0	0	0	0	0	0	2.672418102	0	0	2.376963748	2.906453065	0	0	0	0	0	0	0	0	0	0	0	0	0
fc406207c83cfa43926bd0630bd1b4e8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.519221547	0	0	0	0	0	0	0	0	0.731619444	1.507862848	0	0	0
3699ab43c0058e3562d27197b064a089	0	0	0	0	0	0	3.181171402	2.700439718	0	0	0	0	0	0	0	3.379863783	3.344785518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4090488e188112094695faa0ebab58f8	0	2.649125912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33821575	0	0	0	0	2.667185143	2.274041898	0	2.463391184	0	0	1.345493625	0	0	0	0
73c5bbfce46aac8ca043ba07ac2a74af	0	0	0	3.083491754	0	2.401621109	0	0	0	0	2.730526618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.439356049	2.874182727	0	0	0	0	2.838885129	2.049341455	0	0	0	0	0	0	0	0	0
39ed56fc0e514a2ef62696bcc9dbb43b	2.975614186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.516094591	0	2.738726508	2.906453065	0	0	0	0	0	0	0	0	0	0	0	0	0
7205bc5f64fca03cd3cd92be2f094337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.944735616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.594064708	2.79587453	3.409957631	2.064779218	0	0
d68b51fcbae7f8bd0725d799f279f26a	0	3.354385072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.063036662	0	0	0	0	0	0.821997968	0.772172248	1.856024503	0.799246864	2.29237994	0.363580499	0	0	0	0	2.562605013	0	0	1.678826089	0	0	0	0
9325f55da04db8ef994aebadb84656d2	0	3.561862017	0	0	0	0	3.397499649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37443585
57510ca66db83a59eaaa0edff42e931c	0	0	0	0	0	0	0	3	0	2.402337198	0	0	0	0	2.461055971	0	0	0	0	0	0	0	0	1.401159606	0.821997968	0	0	0	0	0	0	0	0	0	0	0	0	1.465367814	0	0	0	0
7e1975b0d21a51973103bee1e425d825	0	0	0	0	0	0	0	2.906890596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.023633657	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86280081	0	0	0	0	0
a53350eaf8390dae75acdc3968603947	3.573457539	2.587179547	0	0	0	0	3.790701675	0	0	0	0	0	0	0	0	7.133762989	3.030063897	0	0	0	0	4.631429966	0	0	0	0	0	4.424831936	0	0	5.284031487	0	0	0	0	5.247914743	0	4.317187564	0	3.309519425	0	0
fb9e7af4ad361c6c2d40d8ed3eeac780	0	0	3.355093067	0	0	0	2.701009551	4.247927513	0	5.090344209	0	0	0	0	2.556236231	0	0	0	0	0	0	0	0	0	0	0	3.07443364	0	0	0	0	0	2.374499747	3.644413774	4.547157962	7.57521676	3.714883096	3.828838673	4.75591617	4.329281262	0	0
1881715907f8eeeaf5ae75946349ce12	0	2.308784111	0	2.724099418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.421505676	0	0	0.739862573	3.57117753	2.693868173	0	0	0	0	0	1.839772462	0	0	0	0	1.9062485	1.006536259	0	0	0	0	0	0
bb88e3cec2c9fd7dcbfcfa94838648ad	4.561761409	3.238266192	2.877228811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.249067173	0	3.423058086	4.697736909	4.682151274	4.303893389	4.229622568	4.230367099	0	0	0	0	0	0	2.45499767	5.86946855	3.232648179	0	0	4.853503838
5cf3592fbca848fbabdb435903c37e12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.260138059	2.705385086	1.567104315	0	0	0	0	1.184902175	0	0
5e9673a1fced77798691f2df79b71c28	0	0	0	4.229357915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.699698813	2.332371941	0	0	0	0	0	0
98ae88e9e7759276993c7e1682301a48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.277373916	0	0	0	0	0	0	0	0	3.423058086	3.247026967	2.739168903	3.815240669	2.820596457	0	0	0	2.792760226	0	2.049961831	3.011419092	0	0	0	0	0	0
05e208acf645a1147042132de3cbabb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.159383213	3.493605086	3.626872673	0	3.064208454	3.463560686	0	0	0	0	0	0	3.462195933	0	3.542698172	0	0	0
a2ac5c83a6efb9c973a97ee16473ed5f	0	0	0	0	0	0	2.994565115	0	0	0	0	0	0	0	0	4.951406876	0	0	0	0	0	3.328438136	0	0	0	0	0	1.892988958	0	0	0	0	0	0	0	2.425643932	0	0	0	0	0	0
b096ab12f105ca6613833ad9b406d0f4	0	0	0	0	0	0	3.23836969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.895827236	0	0	3.067632908	0	0	0	0	0
e2df26c03c0638a1af8a188baac28c9c	0	0	2.819434692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.522767739	2.968125255	3.168347747	0	0	3.652199453
0d6119f45769cd04efe565f372a0b622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.093551339	0	0	1.589787572	0	0	0	0	0	3.192528275	0	0	0	0	0	0	0	0	0	0	0	1.826582885	0	0
92b07fcb56ede76c7cdea55b4d4acea3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.362035019	1.423203206	0	2.029397255	0	0	0	0
eb3fb4808ebf2ee9e68333c24d141e6a	0	3.826007173	0	4.155622142	4.410362624	0	0	0	0	2.832626501	4.333833525	0	0	0	0	0	0	0	0	0	0	0	3.524879916	3.642466493	0	0	0	0	0	0	5.041963293	3.581516046	3.331807374	3.696553118	6.288166358	5.81155156	3.278361233	0	2.096942148	0	0	0
08b37036a7e1771704a5763d6556bce8	0	1.508684652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.568063976	0	0	0	0	0	0	0	0	0	0	2.546877474	0	0	0	0
2b9194a8ec0903137fcc36a1401fc4d0	5.628343946	4.094426681	5.87537227	5.711546368	0	4.865511814	3.58557981	0	0	3.432681253	4.486747744	0	3.768993357	3.664349956	4.001861084	3.437955818	4.51750399	0	0	0	0	4.611797153	4.161234041	0	4.407360756	4.563820633	4.100742664	4.992829693	4.294754092	4.356835769	4.565913047	4.585750485	4.120471603	5.663938722	3.460975599	3.333672122	3.15565087	3.736536724	3.839651597	3.309519425	0	0
1d028bdc1e803e21c4c16fa301546539	0	0	0	0	0	0	3.23836969	3.392317423	0	0	0	0	0	0	2.461055971	0	0	0	0	0	0	0	0	0	0	0	0.72685025	0	1.058631187	0	3.940340789	0	0	3.644413774	0	0	0	0	0	0	0	0
23da2d609d683d19009525f900c61d6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.376963748	3.101091999	3.305250796	0	0	0	0	0	0	0	0	0	0	0	0
9d27022fe332798f5eeb070412233e98	0	3.021191152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.976515491	0	4.262749034	5.442687905	4.6539413	2.750747772	0	0
cb8a35e0b35f9295cc6853cf8bd33ca4	4.066193546	0	0	0	0	0	5.627098923	0	0	0	0	0	0	0	2.556236231	7.618137399	2.316863175	0	2.913788955	0	6.693528492	5.444470407	0	0	3.352508668	0	0	4.424831936	0	0	5.935110469	2.325937511	0	0	0	5.416458476	0	2.245752587	1.283407613	0	0	0
ce052a5e2929107c29ea9cdc3b52fa32	3.880864311	3.316707767	3.614964664	4.550279294	0	0	5.59461076	4.95419631	0	3.659356906	0	0	5.885334139	0	4.956117389	6.195426413	5.952610794	6.38652826	4.977329814	6.475132934	0	6.022070358	0	5.973064595	4.719136056	3.971558811	4.240614297	3.626394461	3.893538414	4.614853296	5.195668395	3.949543679	0	2.803746283	4.176236302	4.96682044	4.049549895	3.121986232	2.349795814	2.529958137	0	0
bbdd837fc8008149adab2a523af9ff9b	3.840760132	5.284094758	5.505624891	5.711546368	0	4.705524529	4.477456875	5.087462841	0	0	5.416624993	0	0	0	5.905833785	5.437756521	4.542373941	5.281234052	8.462918771	0	0	3.375767132	4.099391252	4.932650898	3.029739807	2.3420074	2.916518366	3.40905169	0	3.571843382	5.723882117	3.949543679	5.523397857	5.958975026	5.99591416	4.041995207	6.323981104	5.255813345	5.642856805	6.996741676	0	6.472728851
84e4f36599603306fd696b8f759ba794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.936350039	2.616318894	0	2.738726508	0	2.924507878	0	0	0	0	0	0	0	0	0	0	0	0
f3882ed489adbf62de06dd3d5b0d2039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.232956095	0	2.751099792	0	0	0	0	0	0	3.15565087	0	2.7952278	0	0	0
96f4e9bbe9afc36bd68d545f3e9b736d	0	0	0	0	0	0	0	0	0	0	0	0	5.407185092	5.723143973	0	0	0	0	0	0	0	0	0	0	3.759325454	4.72695192	5.122788443	5.432657801	5.216092927	4.664612623	0	0	0	2.803746283	0	0	0	0	0	0	0	0
e8bf1ff999291a1d93442fda53e0157e	0	2.38357902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.174379222	3.64504327	2.599823861	0	3.011419092	0	1.774772556	0	0	0	0
501649b4d6a92e3dd734a4850a8a5d5c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.029739807	2.485672987	2.236275361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155d0ef49ca229fe4919d8193d8c7a89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.818732606	0	2.001082698	2.271820559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2da07e359775d03cddb976e97e688a48	2.212536654	1.636519493	0	0	0	2.55972694	6.990866652	3.321928095	0	2.2247254	4.486747744	0	0	0	0	3.256153187	4.241927639	2.979775459	2.421505676	0	0	0	5.166310128	0	0	3.075928396	1.856024503	3.567564422	4.294754092	2.405781694	3.803533211	3.216520695	4.817937282	0	5.119572564	0	3.799288454	2.491471885	0	0	0	2.964833305
bc77d7e8a3f9adfd7d86d2018e9fdd5f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.210740807	0	0	0	2.691202549	0	0	2.150358501	0	0	0	0	0	0	0	0	0	0	0	0
e9d6d27df018a3cd93b3a866a0025131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.887285731	2.773927647	3.839836398	2.15517652	4.12605646	4.115787308	0	0	0	0	0	0	0	0	0	0	0	0
2a918b46fff71afdd0a0dc5721046a8e	0	0	0	0	0	0	0	0	0	0	2.956869667	0	0	0	0	0	0	0	0	0	0	0	3.427573961	0	0	0	0	0	0	0	0	4.221971834	4.335127043	3.214665569	4.812020411	4.577278921	0	0	0	0	0	0
732dcf5fdb521b050f75f89a7051f216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.424065412	0	0	0	0	0	2.792760226	0	3.900911837	0	0	0	0	0	0	0
f1793be216aa5e911b24eb6ba27b42df	0	0	0	0	0	0	0	4.087462841	0	0	0	0	0	0	0	4.428301062	0	0	7.199372968	0	0	0	3.210740807	0	0	0	0	0	0	2.924507878	0	0	0	0	0	0	0	0	0	2.881155361	0	0
6d97301dd076fd7d1e3502341469ce83	2.643949414	5.360147231	1.726018625	3.815996715	4.777773077	0	1.835061029	3.64385619	0	0	4.689450454	0	0	0	3.616532971	0	0	0	3.433483167	0	0	2.813555627	4.332288606	3.285806891	4.491844891	4.519983334	5.401438498	5.702471351	5.483859418	5.1686035	3.358854664	4.451036824	3.935522236	2.077705465	3.408597717	4.90337623	2.973894109	1.949413631	2.707448226	2.607370356	0	4.326291804
ae73258586fc0e3329160778bd7509dc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57167362	0	0	0	0	0	0	0	0	0	2.274787306	0	0	0	0	0	0	0	0	0	0	0	1.86280081	0	0	0	0	0
da7c1c3fecb675780c8387e1295cad26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.159383213	0	0	3.442178189	0	0	0	0	0	0	0	0	0	0	4.153792052	0	0	0
827a683c6db670e0b8a9605e2e151eb1	2.444309114	4.222195437	2.69639972	0	3.418409906	0	3.23836969	4.554588852	0	0	4.486747744	0	3.183469262	0	0	0	0	0	0	0	0	4.913881696	3.427573961	0	2.613299942	0	1.207920124	1.793816066	0	2.688334009	3.896164189	3.644612663	4.284382541	0	4.222483452	2.949947899	2.45499767	0	2.564872039	2.750747772	0	0
d5046a6bae4bf727e4dab0905fee4290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.437142134	0	0	0	0	0	0	2.718251232	0	0	2.748059677	0	0	0	0	0	0
fca04815d1967a1e13c75758f59fe1fa	0	0	3.863968182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.159383213	0	0	0	2.354798077	0	0	0	0	3.932249409	0	0	0	0	0	0	0	0
578af1c36758a05c30836a4d7aa67200	4.871420115	3.593715805	5.924171725	4.49155344	4.992632692	4.563391167	0	4.169925001	0	3.258997965	3.152470633	0	2.471903138	0	0	3.599391106	0	0	0	0	0	3.84803047	3.323227235	4.028329271	4.632467721	3.247026967	3.436338768	4.424831936	3.272565874	2.977968923	0	1.651111231	3.604248428	3.214665569	2.94007634	0	2.45499767	0	0	0	0	3.085439466
3174daa80b1cff9ba6c1943a9ee3cabf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.551655369	0	0	2.507892427	2.580528972	0	0	1.979490397	0	0	2.300471591	0	0	0	0	0	0	0
4927cdff2ab8b31cc380286ddf64b868	2.212536654	2.873310292	2.413527832	0	0	0	0	0	0	0	4.068975139	0	0	0	1.701814289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.565913047	3.29728135	4.258324885	0	5.99591416	0	3.197724745	4.551950752	3.491058113	0	0	0
