"Method","GroupBasedOn","Group","Index","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71"
"CbMPDiCbraya","NoGroup","All","HeS","0.000416441234767864","0","0.00291377732416164","0.0095156626830805","0.0382851356620555","0","0.0729380795755922","0.00186103891419164","0.00908927171261029","0.00500721511792949","0.218526578141054","0","0.0279686199328795","0","0.0555550840137921","0.0268228454894564","0","0.00139248705787473","0.262099215156804","0","0.0480434093410189","0.00368457703459405","0.0733593892828421","0.00807130658014109","0.00604161197995349","0.0102717570468619","0.017727594477244","0.0230286724199657","0.0316378906156318","0","0.026260701101623","0.0373578712918766","0","0.00286074318331289","0.0386494899337396","0","0.0845290056754581","0.00610986072665881","0.0952902594015149","0.001105514202794","0.00119327442200955","0","0.0570142621487895","0.00290138573889665","0.00252701784499601","0.0827308185873383","0.106921396964331","0.00239779624163356","0","0.255286535782689","0.0600562749753108","0.0444176467568429","0.0190058061214876","0.0143599784582564","0","0","0.0134889473556387","0.160786970518402","0.0406043192932521","0.0731165273450759","0.0232865715827599","0.032827394665885","0.0152699873637272","0.0371946967338316","0.0560819196850778","0.0133539923563811","0.0170121334009825","0.00460922222582364","0","0.00621303353101658","0.00341475873108755"
"CbMPDiCbraya","NoGroup","All","HoS","0.000194857825918149","0.0475691594583215","0.000422951002017352","0.108219396890352","0.0963900711819341","0.00704190316406178","0","2.16130208193979e-05","0.0273428116918876","0.63296444247477","0.00285623070323659","0.0126684360518703","0.0138379633147651","0.0301218641608665","0.00337590030224132","0.0512271635062478","0.352216061683207","0.00536175331317948","0.00489567386092149","8.97290625134032e-05","0.0282986115716632","0.255190891900338","0.231341069221676","0.3637397987987","0.199775227971597","0.0971285334788699","0.305622757741124","0.125957541589916","0.187751424822027","0.00269576585706782","0.302216042981876","0.100236174539444","0.0794395906917112","0.148214957664852","0.0712178165970224","0.00304526050104498","0.225553080062969","0.0302026322206897","0.262904359167095","0.0853794462476143","0.112131019123482","0.00384343985853927","0.0461345122816748","0.349524619434674","0.593924237073429","0.427495895654366","0.336050843290714","0.0448464015531956","0.0138129452022584","0.0507210333832624","0.15421308875531","0.0840049776042531","0.345090626882587","0.0816064916480558","0.248004985923633","0.524680380882621","0.601774858142709","0.0228904206043759","0.109162597467338","0.0171711725880669","0.0019906219698426","0.0710593471430022","0.223834630381094","0.0791468179138206","0.0625380068769959","0.26277945395531","0.00215453521823983","0.136687706068293","0","0.0521824771371113","0.0299209645961721"
"CbMPDiCbraya","NoGroup","All","DL","0.753983036205553","0.698186859987693","0.644228473472631","0.576163684513723","0.557979613187931","0.683766896617422","0.335043274371832","0.438154153733954","0.695900963658374","0.146565097034112","0.281875299819295","0.642261487193918","0.646769866872407","0.439627460584338","0.775437200768197","0.641978624144946","0.272058865656927","0.773005874991015","0.448474236601542","0.197212286436593","0.539062305166814","0.471399685334271","0.401562552446313","0.325825078399318","0.329209568921791","0.541564812232021","0.370349085943695","0.669130133583051","0.503395800855441","0.802489334171821","0.524138623605995","0.748283489606517","0.617100666538214","0.632508286022422","0.736262893096336","0.777831794449186","0.294891171913697","0.610761796523663","0.502251237585231","0.762067164640133","0.7251098452046","0.799244359840039","0.439763880645664","0.448748223977998","0.216771437242775","0.31188384920189","0.408841624489345","0.609764466233527","0.703795373320292","0.49569052752976","0.478681714811174","0.644505157466973","0.312899763476278","0.704924416573576","0.331132326472987","0.226221310616613","0.261485451434826","0.595017630575222","0.666973355895471","0.618461022029772","0.610012298454767","0.690808648437313","0.497373124198696","0.663388190561756","0.628203181793944","0.503631484392923","0.321688870974524","0.259992094237974","0.483417603757622","0.772062899202364","0.769521429884835"
"CbMPDiCbraya","NoGroup","All","HD","0.00367033054825383","0.0133607901706844","0.0067669873198874","0.0101792414172501","0.0121273925341105","0.0148891231861175","0.107347833986217","0.040560468946712","0.000610753670950019","0.0461710662470654","0.0162664403671557","0.00953573151132073","0.00163540100651395","0.0200588511806285","0.00326216157498783","0.00332924907550061","0.0172777902490282","0","0.000110038026860036","0.00862623508148593","0.00765037888114531","0.00236710448219928","0.0178491252511825","0.0219825116626054","0.0319833376405722","0.0024285212196277","0.000243593574902412","0.000703132006690721","0.031322963992619","0.00896035936610959","7.76883884879363e-05","0.00179469082827068","0.00841721262462426","0.00145192116122833","0.0015489185625139","0.0242792894058387","0.0024343208986595","0.00179600685922499","0.0120631665451181","9.62236037950513e-06","0.0216447580508409","0.00108343666271087","0.0283883680976576","0.0447216015209537","0.019346544608425","0.00372868056903423","0","0.0210886100697392","7.26233740739562e-05","0.00780499114129884","0.00155428185715148","0.0275081626997584","0.0240583919259388","0.00373390288780932","0.056410379237517","0.045957232480076","0.0278895348055471","0.0283432911497646","0.000973399123731827","0.000350830524235453","0.00114973107394062","7.55479867407853e-05","0.00657343226096717","0.000300817301332826","0.00359503962926335","0.00618415872378032","0.00952241311048196","0","0.0512968155429887","0.000237103115215563","0.000162615623737581"
"CbMPDiCbraya","NoGroup","All","DR","0.241735334185507","0.240883190383301","0.345667810881303","0.295922014495595","0.295217787433969","0.294302077032398","0.484670812066358","0.519402725384323","0.267056199266178","0.169292179126124","0.480475450969258","0.335534345242891","0.309788148873434","0.510191824074167","0.162369653340782","0.276642117783849","0.358447282410838","0.220239884637931","0.284420836353873","0.794071749419408","0.376945295039358","0.267357741248597","0.275887863797987","0.280381304559236","0.432990253486086","0.348606376022619","0.306056968263034","0.181180520400377","0.245891919714281","0.185854540605002","0.147306943922018","0.112327773733892","0.295042530145451","0.214964091968184","0.152320881810388","0.194843655643931","0.392592421449216","0.351129703669763","0.12749097730104","0.151438252549079","0.139921103199068","0.195828763638711","0.428698976826214","0.154104169327477","0.167430763230375","0.174160755987372","0.14818613525561","0.321902725901905","0.282319058103376","0.190496912162989","0.305494639601054","0.199564055472172","0.298945411593709","0.195375210432302","0.364452308365864","0.203141076020689","0.0953612082612793","0.192961687152236","0.182286328220207","0.290900447512849","0.36356077691869","0.205229061767059","0.256948825795516","0.219969477489259","0.249581852014719","0.214050910571606","0.649622047295772","0.598710977467909","0.46528558069939","0.169304487014292","0.196980231164168"
"CbMPDiCbraya","NoGroup","All","DominantProcess","DL","DL","DL","DL","DL","DL","DR","DR","DL","HoS","DR","DL","DL","DR","DL","DL","DR","DL","DL","DR","DL","DL","DL","HoS","DR","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DR","DL","DL","DL","DL","DL","DL","DL","HoS","HoS","DL","DL","DL","DL","DL","DL","HoS","DL","DR","HoS","HoS","DL","DL","DL","DL","DL","DL","DL","DL","DL","DR","DR","DL","DL","DL"
"CbMPDiCbraya","NoGroup","All","DominantProcessImportance","0.753983036205553","0.698186859987693","0.644228473472631","0.576163684513723","0.557979613187931","0.683766896617422","0.484670812066358","0.519402725384323","0.695900963658374","0.63296444247477","0.480475450969258","0.642261487193918","0.646769866872407","0.510191824074167","0.775437200768197","0.641978624144946","0.358447282410838","0.773005874991015","0.448474236601542","0.794071749419408","0.539062305166814","0.471399685334271","0.401562552446313","0.3637397987987","0.432990253486086","0.541564812232021","0.370349085943695","0.669130133583051","0.503395800855441","0.802489334171821","0.524138623605995","0.748283489606517","0.617100666538214","0.632508286022422","0.736262893096336","0.777831794449186","0.392592421449216","0.610761796523663","0.502251237585231","0.762067164640133","0.7251098452046","0.799244359840039","0.439763880645664","0.448748223977998","0.593924237073429","0.427495895654366","0.408841624489345","0.609764466233527","0.703795373320292","0.49569052752976","0.478681714811174","0.644505157466973","0.345090626882587","0.704924416573576","0.364452308365864","0.524680380882621","0.601774858142709","0.595017630575222","0.666973355895471","0.618461022029772","0.610012298454767","0.690808648437313","0.497373124198696","0.663388190561756","0.628203181793944","0.503631484392923","0.649622047295772","0.598710977467909","0.483417603757622","0.772062899202364","0.769521429884835"
"CbMPDiCbraya","NoGroup","All","DominantProcessPvalue","0.015","0.033","0.12","0.146","0.105","0.096","0.156","0.384","0.021","0.004","0.096","0.065","0.045","0.317","0.01","0.084","0.538","0.007","0.276","0","0.257","0.193","0.326","0.499","0.228","0.21","0.551","0.044","0.063","0.007","0.177","0.001","0.055","0.015","0.001","0.012","0.237","0.209","0.21","0.359","0.045","0.275","0.472","0.352","0.01","0.33","0.403","0.077","0.29","0.294","0.131","0.018","0.53","0.016","0.433","0.055","0.112","0.144","0.157","0.071","0.163","0.322","0.13","0.01","0.032","0.073","0.088","0.006","0.493","0","0"
