Feature_ID	Taxon	Confidence	ASVs
cc96e3dc2cd98b176ad81d64c6c4749f	Bacteria;Actinobacteriota;Actinobacteria;Frankiales;uncultured;uncultured	0.999982012	ASV41
092f49b2a3bdee851ec28dbb25edca97	Bacteria;Firmicutes;Bacilli;Exiguobacterales;Exiguobacteraceae;Exiguobacterium	0.999970899	ASV42
f97837d28e3442fbe919890466b06b2c	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	0.999152444	ASV43
def2d46ee7d6c84edfc6d6066513c520	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium	0.999857287	ASV44
66012bb025b201b70d944c0ae82fa0d1	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium	0.999998344	ASV45
e766f92fb4f7421016a767b74189ef54	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;s__Flavobacterium_hauense	0.85732079	ASV46
a4d7235811e3f452e7a193e6c0ecfdba	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum	0.999998866	ASV47
908ebbcfe682b5de3be2850e9af9069b	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0.996924987	ASV48
b615d8aa21bd95aa8bf3a69aa993646d	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Frigoribacterium;s__Frigoribacterium_salinisoli	0.86623634	ASV49
7b8a5e5e9c569378d1be8ca4524b9141	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0.988612209	ASV50
5f4bfcaf95fa58772cf7e8425b63efdb	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	0.946921408	ASV51
5a63759f19748fb6a96e03e19585c7ea	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea	0.741875139	ASV52
10cd721d4ff7dc064930c1264a97121d	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0.998818999	ASV53
8efd236ca63a8c66af2ee19a2f79daf5	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera	0.999973438	ASV54
3f45ace66831ed9ec2482ca2011cc85e	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0.99968878	ASV55
0bed048d5edd6f87ee62e3c4d72ff52a	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus_Megaira	0.994715355	ASV56
b02415496c871091ffcd11c49ca2ce81	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;s__Erwinia_gerundensis	0.714666238	ASV57
3f33fcbea691ad1674e0b6e61033fcbc	Bacteria;Firmicutes;Bacilli;Exiguobacterales;Exiguobacteraceae;Exiguobacterium	0.999985063	ASV58
937db62e4d280d7636e9588e4c572fed	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;s__Arthrobacter_globiformis	0.728801371	ASV59
824bea0cd4e24ecd7587b7d6c65f2cc3	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae	0.986177991	ASV60
c5f6f97a3fe7685a55ba281cafd0d434	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;s__Lactobacillus_kosoi	0.71648651	ASV61
17f423d16c52f23818cd37f6c06f387e	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea	0.788010332	ASV62
a4aeae6320c732baeed6ddab622b7498	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter	0.878805556	ASV63
99900ae48ab6e736d398585436bc3ac6	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Frigoribacterium	0.746355627	ASV64
1ad9124dec15f08740c9d57c820b810a	Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus	0.979381597	ASV65
1f711df3b99a543df008540c9ef7c77f	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	0.996923661	ASV66
d5c4338ec1cce4bcecbace5cf6b77cd3	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea	0.83567017	ASV67
b384de6911dee8802ae9189060d0fcd4	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae	0.938336359	ASV68
62b8d69fa610587ee4ff2357a8005675	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Frigoribacterium	0.789156427	ASV69
f71bbeea8a711dca1c66a15062edf6cc	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0.990213438	ASV70
a831aea42c7640575ab8b04e29a698c5	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0.917726014	ASV71
036e517841ac80fe2dfcb0d969284d4d	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae	0.969871684	ASV72
c23be3047de5c9a19d5c168151df1810	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Rathayibacter	0.99322551	ASV73
71f7c69d28a3f9cfa49f820eb4d9937c	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;s__Kocuria_sediminis	0.810619772	ASV74
bbdd837fc8008149adab2a523af9ff9b	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae	0.991377773	ASV75
b1dd1c294557e2189bdd0b1a7e6210f0	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Terribacillus	0.993577071	ASV76
422ccf42e55e90e2fc79db7c9ba4c061	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales	0.99996442	ASV77
a768f4b003f06bb46b92d3f46bab784e	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium	0.999997558	ASV78
f4f3caefb1252043a22973635932ee49	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;s__Sphingomonas_roseiflava	0.711112817	ASV79
5ef6e6aef36c7c1c1573fc33a90087ad	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0.996998294	ASV80
9aa249d9381a729d812a5f1930e460a6	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales	0.999997687	ASV81
8307f6417a053190c6ab69f4b62e688c	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;Mitochondria	0.994377018	ASV82
