"Method","GroupBasedOn","Group","Process","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71"
"CbMPDiCbraya","NoGroup","All","HeS",1.60991061175975e-06,0,1.86572818667976e-05,4.71393347978736e-05,0.000146492495113822,0,0.00234078795194202,4.12023419430489e-05,2.17960659318318e-05,0.000150052535608564,0.00331389162574634,0,9.24891732181745e-05,0,0.00015114177761396,0.00010387239922863,0,1.20219717744847e-06,0.000863903332351659,0,0.000487632810642789,1.3886772561668e-05,0.00036949063991731,0.000112063588725621,0.000113674001216481,5.84731258634363e-05,0.000114174280432369,5.4248032897469e-05,0.00026192861308301,0,6.1709693237927e-05,6.70424362913694e-05,0,1.00819160970455e-05,0.000115882377825693,0,0.000807005276356411,1.60110090985722e-05,0.000936093114823003,8.56726512397988e-06,1.69673094065185e-05,0,0.000916314201310123,0.000324923364039169,0.000114606664305206,0.000357693966250837,0.000109126690866788,3.67584873059902e-05,0,0.0123738818357496,0.000337498840167154,0.000708775809268127,0.000350438284568853,7.45753672893767e-05,0,0,0.000885733260868201,0.00568202573720583,0.0012954765026834,0.000172921439332675,9.06458297371992e-05,0.001085107910329,8.74508902309495e-05,5.94748801017453e-05,0.000140119866068441,4.8161044542521e-05,0.000343541286650014,2.27159810694764e-05,0,8.31104876481419e-06,2.39703520895879e-06
"CbMPDiCbraya","NoGroup","All","HoS",7.53296397041303e-07,0.000372142451162392,2.70820834352971e-06,0.000536104583731082,0.000368822567491519,3.27260386055641e-05,0,4.78499975165682e-07,6.55680394691263e-05,0.0189682123309043,4.33139030006031e-05,8.57267338958554e-05,4.57606342063903e-05,0.000263443591301682,9.18439026393309e-06,0.000198378966957957,0.00582066153426418,4.62904460248076e-06,1.61365952966578e-05,1.27681141647805e-06,0.00028722631651782,0.000961786886895592,0.00116519999064202,0.0050502340372016,0.00375880635545895,0.000552915040448318,0.00196835834064464,0.000296714840319234,0.00155438524348695,1.17267945944803e-05,0.00071017370144924,0.000179883840092156,0.000745589646166329,0.000522343556115275,0.000213531664841264,1.56429125271437e-05,0.00215337355804369,7.91465863004601e-05,0.00258266649727852,0.000661654414111767,0.00159440415418638,0.000109921022263146,0.000741458490928001,0.0391429218248012,0.0269359695246265,0.0018483160820068,0.000342982017935504,0.000687500402907215,6.72438321121798e-05,0.00245847698840588,0.000866632814221464,0.00134047389565573,0.00636294859226198,0.000423805237977366,0.00924544340499525,0.038170381439398,0.0395147221913079,0.000808921012630467,0.00348282110012678,4.0610023298081e-05,7.74873963340615e-06,0.00234886321234068,0.00128189612899355,0.000126556953523364,0.000156250306640689,0.000947711564381238,4.3508464433046e-05,0.000673648435972871,0,6.98034398157147e-05,2.10034181829858e-05
"CbMPDiCbraya","NoGroup","All","DL",0.00291480571502673,0.00546204667906406,0.004125075762148,0.0028542387143421,0.00213502771624126,0.00317768951582706,0.0107524802488936,0.0097004834924449,0.00166876992629449,0.00439215490521561,0.00427455645680298,0.00434615444075281,0.00213879735192566,0.00384494918483973,0.00210963513119703,0.00248608448233587,0.00449599761810159,0.000667371000548919,0.00147821269606683,0.00280625799198969,0.00547139494439759,0.00177665445841333,0.00202255779281575,0.00452381869275944,0.00619413644276787,0.00308291826650298,0.00238522719203022,0.00157625211029665,0.00416759023386754,0.00349089204517566,0.00123166679943957,0.00134286955988141,0.0057918710759576,0.00222910448849845,0.00220752964406774,0.00399557105778786,0.00281534994743672,0.00160051318985602,0.00493391379525821,0.00590569657563072,0.010310422204961,0.0228581063591978,0.00706773838460395,0.0502548766910883,0.00983113411258042,0.00134845723680142,0.000417274136289186,0.00934775816331201,0.00342619891933988,0.0240263983995412,0.00269005234880803,0.0102844184218463,0.00576939781736782,0.00366086881188867,0.0123443694995435,0.0164575502164401,0.0171700841780026,0.0210272354788394,0.0212797142155778,0.00146266752516588,0.00237454752610581,0.0228346457759566,0.00284844521819617,0.00106076770505529,0.00156955657350932,0.00181634208748616,0.00649615224797119,0.00128133884667884,0.00695732535117474,0.0010327728593032,0.000540175780118671
"CbMPDiCbraya","NoGroup","All","HD",1.41890466288566e-05,0.000104523965951958,4.33298690223388e-05,5.04266161104395e-05,4.64037010924675e-05,6.9194649349712e-05,0.00344509367293647,0.000897985688622067,1.46458678990376e-06,0.001383620515387,0.000246675809285884,6.45278639309724e-05,5.40809261721315e-06,0.000175433225652617,8.87495551595622e-06,1.28926324851657e-05,0.000285529764369625,0,3.62695546542992e-07,0.000122748138950181,7.76501045089238e-05,8.92136092294456e-06,8.99010307405346e-05,0.00030520946288616,0.000601772171719229,1.3824628667663e-05,1.56886040957967e-06,1.65634942104398e-06,0.000259321350336235,3.89782716119813e-05,1.82558972937823e-07,3.22075218304009e-06,7.9000741668665e-05,5.11690368167795e-06,4.64410698278776e-06,0.000124718000403058,2.32406591543909e-05,4.70647097382768e-06,0.000118503687751203,7.45692025315946e-08,0.000307769361434374,3.09859058306721e-05,0.000456248381712244,0.00500832861229042,0.000877414834166694,1.61212781934736e-05,0,0.000323290775124982,3.53543281475605e-07,0.000378312306269513,8.73461306578083e-06,0.000438949870211142,0.000443600315720322,1.93911975627751e-05,0.0021029374339086,0.00334337847874673,0.00183132812043248,0.0010016191565202,3.10561958549262e-05,8.29718278691159e-07,4.47546891141099e-06,2.49723497268729e-06,3.76459056187529e-05,4.81011394106273e-07,8.98215457302099e-06,2.23031087487245e-05,0.000192294639060319,0,0.000738261561924229,3.1716802154832e-07,1.14150195174004e-07
"CbMPDiCbraya","NoGroup","All","DR",0.000934519080367904,0.00188447435132002,0.00221335437214542,0.00146595853383625,0.00112960786308631,0.00136771848607821,0.0155544484327571,0.0114992806083972,0.000640400541512519,0.00507322336634067,0.00728626964687089,0.00227054574138302,0.00102443559356355,0.00446209987765208,0.000441738834026345,0.00107130619356522,0.00592363760704038,0.000190143072552072,0.000937477466956003,0.0112993476891609,0.00382593359213752,0.00100764242692231,0.00138956968339948,0.00389286850753352,0.0081467884340829,0.00198448078639034,0.00197115486636385,0.0004268021469852,0.00203572767481718,0.000808481944532443,0.000346154746062072,0.000201583424158949,0.00276915645888541,0.000757582837824335,0.000456702171411718,0.00100087406665572,0.00374811170479724,0.000920142231017745,0.0012524199934297,0.00117358208173282,0.00198955462942203,0.00560063346376286,0.00688990694166722,0.0172579758834091,0.0075934094861678,0.000752999337346115,0.000151242529857496,0.00493480515916044,0.00137437853167391,0.00923349237339539,0.00171679123597034,0.0031844589987498,0.00551210069959553,0.00101463787843295,0.0135865139092568,0.0147784682641948,0.00626176318482601,0.0068190430428452,0.00581582597812339,0.000687982948766629,0.00141520481735893,0.00678383650665598,0.00147154041613629,0.00035173450648994,0.000623576651330659,0.000771972542988632,0.0131184013611906,0.00295067292569484,0.00669637005556583,0.000226475173625436,0.000138272887413915
